"도로명코드","도로명","도로명 로마자","읍면동일련번호","시도명","시도명 로마자","시군구명","시군구명 로마자","읍면동명","읍면동명 로마자","읍면동구분","읍면동코드","사용여부","변경사유","변경이력정보","고시일자","말소일자"
"111103100003","돈화문로","Donhwamun-ro","01","서울특별시","Seoul","종로구","Jongno-gu","와룡동","Waryong-dong","1","130","0","","","",""
"111103100003","돈화문로","Donhwamun-ro","02","서울특별시","Seoul","종로구","Jongno-gu","묘동","Myo-dong","1","151","0","","","",""
"111103100003","돈화문로","Donhwamun-ro","03","서울특별시","Seoul","종로구","Jongno-gu","장사동","Jangsa-dong","1","154","0","","","",""
"111103100003","돈화문로","Donhwamun-ro","04","서울특별시","Seoul","종로구","Jongno-gu","관수동","Gwansu-dong","1","155","0","","","",""
"111103100003","돈화문로","Donhwamun-ro","05","서울특별시","Seoul","종로구","Jongno-gu","종로3가","Jongno 3(sam)-ga","1","156","0","","","",""
"111103100004","북촌로","Bukchon-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100004","북촌로","Bukchon-ro","01","서울특별시","Seoul","종로구","Jongno-gu","삼청동","Samcheong-dong","1","140","0","","","",""
"111103100004","북촌로","Bukchon-ro","02","서울특별시","Seoul","종로구","Jongno-gu","화동","Hwa-dong","1","143","0","","","",""
"111103100004","북촌로","Bukchon-ro","03","서울특별시","Seoul","종로구","Jongno-gu","가회동","Gahoe-dong","1","146","0","","","",""
"111103100004","북촌로","Bukchon-ro","04","서울특별시","Seoul","종로구","Jongno-gu","재동","Jae-dong","1","147","0","","","",""
"111103100004","북촌로","Bukchon-ro","05","서울특별시","Seoul","종로구","Jongno-gu","계동","Gye-dong","1","148","0","","","",""
"111103100005","사직로","Sajik-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100005","사직로","Sajik-ro","01","서울특별시","Seoul","종로구","Jongno-gu","적선동","Jeokseon-dong","1","107","0","","","",""
"111103100005","사직로","Sajik-ro","02","서울특별시","Seoul","종로구","Jongno-gu","필운동","Pirun-dong","1","113","0","","","",""
"111103100005","사직로","Sajik-ro","03","서울특별시","Seoul","종로구","Jongno-gu","내자동","Naeja-dong","1","114","0","","","",""
"111103100005","사직로","Sajik-ro","04","서울특별시","Seoul","종로구","Jongno-gu","사직동","Sajik-dong","1","115","0","","","",""
"111103100005","사직로","Sajik-ro","05","서울특별시","Seoul","종로구","Jongno-gu","세종로","Sejongno","1","119","0","","","",""
